Sample month,GMV slab,Creators sampled,Sample orders,M+0,Spend M+0,Sample cost M+0,M+1,Spend M+1,Sample cost M+1,M+2,Spend M+2,Sample cost M+2,M+3,Spend M+3,Sample cost M+3,M+4,Spend M+4,Sample cost M+4,M+5,Spend M+5,Sample cost M+5,M+6 and later,Spend M+6 and later,Sample cost M+6 and later,Total GMV,Total spend,Total sample cost,ROAS,Final ROAS,Months observed
2025-09,£500-£1K,22,22,7758.0,4170.0,132.0,351.0,14.0,0.0,1502.0,1317.0,0.0,0.0,10.0,0.0,362.0,129.0,6.0,584.0,146.0,15.0,1310.0,224.0,87.0,11867.0,6010.0,240.0,1.97,1.9,13
2025-09,£1K-£5K,55,55,1384.0,848.0,330.0,3749.0,2610.0,0.0,4139.0,4149.0,0.0,2624.0,427.0,0.0,40.0,10.0,0.0,52.0,4.0,6.0,1346.0,1032.0,296.0,13334.0,9080.0,632.0,1.47,1.37,13
2025-09,£5K-£10K,9,9,0.0,0.0,54.0,225.0,423.0,0.0,263.0,127.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,687.0,337.0,34.0,1175.0,890.0,88.0,1.32,1.2,13
2025-09,£10K-£25K,13,13,52245.0,23715.0,78.0,50350.0,28191.0,0.0,18862.0,12991.0,0.0,16445.0,7968.0,0.0,1546.0,456.0,0.0,2022.0,203.0,6.0,34629.0,25541.0,55.0,176099.0,99065.0,139.0,1.78,1.78,13
2025-09,£25K-£50K,3,3,0.0,0.0,18.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3480.0,3119.0,22.0,3480.0,3128.0,40.0,1.11,1.1,13
2025-09,£50K+,1,1,355.0,263.0,6.0,146.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,543.0,334.0,6.0,1.63,1.6,13
2025-09,No data,4,4,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,,0.0,13
2025-10,£0-£50,394,394,854.0,212.0,2364.0,390.0,38.0,0.0,0.0,2.0,0.0,26.0,9.0,6.0,25.0,1.0,6.0,0.0,1.0,0.0,0.0,4.0,12.0,1295.0,267.0,2388.0,4.85,0.49,12
2025-10,£50-£100,12,12,54.0,31.0,72.0,66.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,40.0,72.0,3.0,1.07,12
2025-10,£100-£200,21,21,61.0,1.0,126.0,17442.0,11837.0,0.0,1525.0,929.0,0.0,28.0,24.0,0.0,52.0,7.0,0.0,0.0,1.0,0.0,90.0,6.0,0.0,19198.0,12805.0,126.0,1.5,1.48,12
2025-10,£200-£500,30,30,706.0,626.0,180.0,654.0,680.0,0.0,60.0,17.0,0.0,0.0,45.0,0.0,0.0,6.0,0.0,71.0,5.0,18.0,1671.0,462.0,65.0,3162.0,1841.0,263.0,1.72,1.5,12
2025-10,£500-£1K,21,21,94.0,20.0,126.0,25.0,41.0,0.0,85.0,5.0,0.0,0.0,3.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0,314.0,20.0,98.0,543.0,93.0,224.0,5.84,1.71,12
2025-10,£1K-£5K,41,41,1520.0,389.0,246.0,381.0,184.0,0.0,0.0,48.0,0.0,0.0,24.0,0.0,128.0,27.0,18.0,50.0,10.0,0.0,606.0,328.0,266.0,2685.0,1010.0,530.0,2.66,1.74,12
2025-10,£5K-£10K,19,19,98.0,58.0,114.0,790.0,990.0,0.0,0.0,4.0,0.0,277.0,16.0,0.0,42.0,9.0,0.0,0.0,6.0,0.0,3594.0,327.0,65.0,4801.0,1410.0,179.0,3.4,3.02,12
2025-10,£10K-£25K,12,12,1792.0,1555.0,72.0,76.0,249.0,0.0,0.0,19.0,0.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,1868.0,1848.0,78.0,1.01,0.97,12
2025-10,£25K-£50K,9,9,1021.0,353.0,54.0,4607.0,1917.0,0.0,354.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,526.0,680.0,64.0,6508.0,3030.0,118.0,2.15,2.07,12
2025-10,£50K+,4,4,58.0,18.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,20.0,24.0,2.9,1.32,12
2025-10,No data,5,5,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,,0.0,12
2025-11,£0-£50,459,459,1029.0,481.0,2754.0,65.0,80.0,0.0,85.0,9.0,0.0,26.0,27.0,0.0,0.0,0.0,0.0,751.0,734.0,0.0,0.0,0.0,12.0,1956.0,1331.0,2766.0,1.47,0.48,11
2025-11,£50-£100,21,21,51.0,46.0,126.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,66.0,24.0,12.0,117.0,77.0,144.0,1.52,0.53,11
